程響 - 世界這麼大還是遇見你|00:00:00|00:04:10|00:04:10
胡66 - 後來遇見他|00:04:10|00:08:05|00:03:55
藍心羽 - 阿拉斯加海灣|00:08:05|00:12:03|00:03:57
程响 - 四季子你|00:12:03|00:16:11|00:04:08
火羊瞌睡了 - 夏天的風|00:16:11|00:19:54|00:03:43
艾辰 - 错位时空|00:19:54|00:23:21|00:03:27
藍心羽 - 阿拉斯加海灣|00:23:21|00:27:19|00:03:58
陈雪燃 - 无名之辈|00:27:19|00:31:40|00:04:21
尤長靖 - 愛不由我|00:31:40|00:36:12|00:04:32
楊紫 - 牛奶面包|00:36:12|00:39:41|00:03:29
Lara梁心頤 - 光耀|00:39:41|00:42:51|00:03:10
陳芳語 - 我可以不在乎的你|00:42:51|00:47:38|00:04:46
曲肖冰 - 太陽|00:47:38|00:51:56|00:04:18
陳雪凝 - 你的酒館對我打了烊|00:51:56|00:56:07|00:04:10
畢竟深愛過 - 六哲|00:56:07|01:00:51|00:04:44
可不可以 - /張紫豪|01:00:51|01:04:55|00:04:04
累了走了散了 - 六哲|01:04:55|01:09:35|00:04:40
阿涵 - 過客|01:09:35|01:14:05|00:04:30
陳雪凝 - 綠色|01:14:05|01:18:35|00:04:30
汪蘇瀧 - 耿|01:18:35|01:23:05|00:04:29
胖虎 - 白月光與朱砂痣|01:23:05|01:26:29|00:03:24
少年 - 萝然|01:26:29|01:30:27|00:03:57
任然 - 飛鳥和蟬|01:30:27|01:35:22|00:04:55
孤芳自賞 - 楊小壯|01:46:56|01:50:38|00:03:42
